ID,Tur,Kategori,Tutar,Tarih
1,Gelir,Burs,4000.0,2026-05-01
2,Gelir,Anne Desteği,3000.0,2026-05-01
3,Gelir,Baba Desteği,12000.0,2026-05-01
4,Gider,Yurt,1200.0,2026-05-02
5,Gider,Telefon,489.0,2026-05-03
6,Gider,Yemek,150.0,2026-05-04
7,Gider,Otobüs,35.0,2026-05-04
8,Gider,Yemek,160.0,2026-05-05
9,Gider,Market,300.0,2026-05-06
10,Gider,Kahve,70.0,2026-05-06
11,Gider,Yemek,140.0,2026-05-07
12,Gider,Otobüs,35.0,2026-05-07
13,Gider,Alışveriş,500.0,2026-05-08
14,Gider,Yemek,155.0,2026-05-09
15,Gider,Market,320.0,2026-05-10
16,Gider,Kahve,80.0,2026-05-11
17,Gider,Yemek,145.0,2026-05-12
18,Gider,Otobüs,35.0,2026-05-12
19,Gider,Sinema,200.0,2026-05-13
20,Gider,Yemek,150.0,2026-05-14
21,Gider,Market,280.0,2026-05-15
22,Gider,Kahve,75.0,2026-05-16
23,Gider,Yemek,160.0,2026-05-17
24,Gider,Otobüs,35.0,2026-05-17
25,Gider,Alışveriş,600.0,2026-05-18
26,Gider,Yemek,150.0,2026-05-19
27,Gider,Market,310.0,2026-05-20
28,Gider,Kahve,85.0,2026-05-21
29,Gider,Yemek,170.0,2026-05-22
30,Gider,Otobüs,35.0,2026-05-22
31,Gider,Alışveriş,450.0,2026-05-23
32,Gider,Yemek,160.0,2026-05-24
33,Gider,Market,330.0,2026-05-25
34,Gider,Kahve,90.0,2026-05-26
35,Gider,Yemek,150.0,2026-05-27
36,Gider,Otobüs,35.0,2026-05-27
37,Gider,Sinema,250.0,2026-05-28
38,Gider,Yemek,160.0,2026-05-29
39,Gider,Market,340.0,2026-05-30
40,Gider,Yemek,170.0,2026-05-31
